               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025717,           0.0081484,                   0,             0.99677,                   1,               0.995,             0.60655,            0.024891,           0.0040789,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02647,           0.0096565,                   0,                   1,              0.9982,               0.995,             0.58423,            0.029424,            0.003922,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.025821,           0.0090148,                   0,                   1,             0.99733,               0.995,             0.65178,            0.029656,           0.0038447,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026337,           0.0084107,                   0,                   1,             0.99776,               0.995,             0.67702,            0.027754,           0.0038018,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025303,             0.00957,                   0,                   1,             0.99819,               0.995,             0.67465,            0.025232,           0.0038643,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024257,           0.0092031,                   0,             0.99922,                   1,               0.995,             0.68764,             0.02529,           0.0039206,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02351,           0.0089762,                   0,              0.9969,                   1,               0.995,             0.69121,             0.02869,            0.003859,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024443,           0.0084356,                   0,             0.99617,                   1,               0.995,             0.69498,            0.023382,           0.0037465,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022611,           0.0082553,                   0,             0.99602,                   1,               0.995,             0.72967,            0.023773,           0.0035806,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022201,           0.0087129,                   0,             0.99708,                   1,               0.995,             0.68943,            0.023329,           0.0037003,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.022624,           0.0073876,                   0,             0.99667,                   1,               0.995,             0.74521,            0.023204,            0.003854,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023343,           0.0079322,                   0,             0.99543,                   1,               0.995,             0.68821,            0.029356,           0.0036716,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023646,           0.0081079,                   0,             0.99691,                   1,               0.995,             0.70203,            0.028089,           0.0035291,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.022803,           0.0080865,                   0,             0.99832,                   1,               0.995,             0.67849,            0.024294,           0.0035911,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022455,           0.0077764,                   0,             0.99775,                   1,               0.995,             0.69692,            0.026981,           0.0035398,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.022952,           0.0084078,                   0,             0.99774,                   1,               0.995,             0.68003,            0.024916,           0.0036492,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.022179,           0.0081615,                   0,             0.99776,                   1,               0.995,             0.70315,            0.022807,           0.0036345,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.01948,            0.007835,                   0,             0.99747,                   1,               0.995,             0.71597,            0.023246,           0.0036058,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.020515,           0.0080435,                   0,             0.99713,                   1,               0.995,             0.70594,            0.024087,           0.0035653,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021616,           0.0083941,                   0,             0.99697,                   1,               0.995,              0.7039,            0.023273,           0.0036092,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019671,           0.0078599,                   0,             0.99713,                   1,               0.995,             0.69101,            0.025216,           0.0034931,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020274,           0.0086212,                   0,             0.99626,                   1,               0.995,             0.68024,             0.02551,           0.0035963,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020635,           0.0075523,                   0,             0.99599,                   1,               0.995,             0.70909,            0.025172,           0.0036116,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019147,           0.0084507,                   0,             0.99689,                   1,               0.995,             0.73241,            0.024841,           0.0036297,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018848,           0.0077019,                   0,              0.9972,                   1,               0.995,             0.71667,            0.022704,           0.0035141,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020835,           0.0078653,                   0,             0.99737,                   1,               0.995,             0.71068,            0.022935,           0.0034611,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023002,           0.0072521,                   0,             0.99713,                   1,               0.995,             0.71241,            0.022062,           0.0034585,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.019803,           0.0077814,                   0,             0.99711,                   1,               0.995,             0.73364,            0.023695,           0.0034328,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.019514,           0.0075069,                   0,             0.99793,                   1,               0.995,              0.7318,            0.021823,           0.0034742,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.018739,           0.0075732,                   0,             0.99798,                   1,               0.995,             0.75626,            0.021426,           0.0034995,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019143,           0.0077056,                   0,             0.99754,                   1,               0.995,             0.77653,            0.021833,           0.0034716,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018204,           0.0077224,                   0,             0.99765,                   1,               0.995,             0.75837,            0.021652,           0.0034304,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018748,           0.0075365,                   0,             0.99911,                   1,               0.995,             0.76607,            0.021949,           0.0034168,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018778,           0.0082992,                   0,                   1,             0.99965,               0.995,             0.73467,            0.021145,           0.0034618,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017932,           0.0072832,                   0,             0.99957,                   1,               0.995,             0.77195,            0.020923,           0.0033863,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018272,           0.0075353,                   0,             0.99914,                   1,               0.995,             0.73587,            0.019693,            0.003376,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.017068,            0.007776,                   0,             0.99868,                   1,               0.995,             0.72634,            0.020997,           0.0033524,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01694,           0.0067731,                   0,             0.99841,                   1,               0.995,             0.74603,             0.02155,            0.003427,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015585,           0.0070698,                   0,             0.99817,                   1,               0.995,             0.73772,            0.021919,           0.0034609,                   0,            0.002476,            0.002476,            0.002476
